Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::find	0.242747	0.242747	0.0	0.0	31200000	3.7	3.7	27.102601	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::find(unsigned long const&)	hashtable.h	0x18a0
func@0xab0	0.111343	0.111343	0.0	0.0	587600000	52.2	52.2	0.659997	[vdso]	func@0xab0	[Unknown]	0xab0
std::__unguarded_partition<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter>	0.098303	0.098303	0.0	0.0	322400000	22.3	22.3	1.062180	orderbook_bench	std::__unguarded_partition<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter)	stl_algo.h	0x1a77
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_find_before_node	0.080247	0.080247	0.0	0.0	91000000	11.8	11.8	3.072392	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_find_before_node(unsigned long, unsigned long const&, unsigned long) const	hashtable.h	0x2c29
[vmlinux]	0.061188	0.061188	0.0	0.0	135200000	21.8	21.8	1.576305	vmlinux	[vmlinux]	[Unknown]	0x0
benchmark_orderbook<OrderBookMap>	0.052161	0.052161	0.0	0.0	143000000	14.9	14.9	1.270469	orderbook_bench	benchmark_orderbook<OrderBookMap>(long)	orderbook_bench.cpp	0x35a0
std::__detail::_Mod_range_hashing::operator()	0.045139	0.045139	0.0	0.0	18200000	2.9	2.9	8.635177	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x2b2c
std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::operator[]	0.040123	0.040123	0.0	0.0	39000000	6.4	6.4	3.578101	orderbook_bench	std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::operator[](unsigned int const&)	stl_map.h	0x3b1b
malloc_consolidate	0.037114	0.037114	0.0	0.0	44200000	11.6	11.6	2.923280	libc.so.6	malloc_consolidate	malloc.c	0xa9bb0
std::__detail::_Mod_range_hashing::operator()	0.037114	0.037114	0.0	0.0	18200000	4.6	4.6	7.105741	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x19ad
std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>::operator()	0.036111	0.036111	0.0	0.0	270400000	59.6	59.6	0.465394	orderbook_bench	std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>::operator()(void)	random.tcc	0x2a20
std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::find	0.036111	0.036111	0.0	0.0	2600000	4.8	4.8	48.388359	orderbook_bench	std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::find(unsigned long const&)	unordered_map.h	0x3132
std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::operator[]	0.035108	0.035108	0.0	0.0	57200000	14.7	14.7	2.138678	orderbook_bench	std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::operator[](unsigned int const&)	stl_map.h	0x3a33
std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::find	0.031096	0.031096	0.0	0.0	0	0.0	0.0		orderbook_bench	std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::find(unsigned long const&)	unordered_map.h	0x37de
unlink_chunk	0.029090	0.029090	0.0	0.0	23400000	3.0	3.0	4.333795	libc.so.6	unlink_chunk	malloc.c	0xa9ad0
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_rehash_aux	0.026080	0.026080	0.0	0.0	18200000	9.9	9.9	4.991576	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_rehash_aux(unsigned long, std::integral_constant<bool, (bool)1>)	hashtable.h	0x2aa4
std::__new_allocator<std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>>::deallocate	0.026080	0.026080	0.0	0.0	41600000	9.9	9.9	2.182642	orderbook_bench	std::__new_allocator<std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>>::deallocate(std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*, unsigned long)	new_allocator.h	0x24d6
std::swap<double>	0.022068	0.022068	0.0	0.0	96200000	11.7	11.7	0.799907	orderbook_bench	std::swap<double>(double&, double&)	move.h	0x1ad6
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_insert_bucket_begin	0.021065	0.021065	0.0	0.0	104000000	40.9	40.9	0.704886	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_insert_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*)	hashtable.h	0x2cf9
_int_free	0.020062	0.020062	0.0	0.0	72800000	25.7	25.7	0.960687	libc.so.6	_int_free	malloc.c	0xab170
std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::find	0.020062	0.020062	0.0	0.0	13000000	15.0	15.0	5.372626	orderbook_bench	std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::find(unsigned int const&)	stl_map.h	0x381e
__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>	0.018056	0.018056	0.0	0.0	67600000	11.9	11.9	0.930889	orderbook_bench	__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>) const	predefined_ops.h	0x1a88
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_get_previous_node	0.018056	0.018056	0.0	0.0	33800000	11.9	11.9	1.861487	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_get_previous_node(unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*)	hashtable.h	0x1949
std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::find	0.017052	0.017052	0.0	0.0	36400000	7.6	7.6	1.630963	orderbook_bench	std::map<unsigned int, long, std::less<unsigned int>, std::allocator<std::pair<unsigned int const, long>>>::find(unsigned int const&)	stl_map.h	0x3c08
__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>	0.014043	0.014043	0.0	0.0	41600000	21.5	21.5	1.176305	orderbook_bench	__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>) const	predefined_ops.h	0x1a77
std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>	0.014043	0.014043	0.0	0.0	140400000	79.8	79.8	0.348232	orderbook_bench	std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&, std::uniform_int_distribution<unsigned int>::param_type const&)	uniform_int_dist.h	0x1f20
std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, Order>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_equals	0.013040	0.013040	0.0	0.0	0	0.0	0.0		orderbook_bench	std::__detail::_Hashtable_base<unsigned long, std::pair<unsigned long const, Order>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_equals(unsigned long const&, unsigned long, std::__detail::_Hash_node_value<std::pair<unsigned long const, Order>, (bool)0> const&) const	hashtable_policy.h	0x2c43
std::__detail::_Map_base<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>, (bool)1>::operator[]	0.012037	0.012037	0.0	0.0	20800000	3.6	3.6	2.018481	orderbook_bench	std::__detail::_Map_base<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>, (bool)1>::operator[](unsigned long const&)	hashtable_policy.h	0x2bf0
__GI_	0.011034	0.011034	0.0	0.0	26000000	46.8	46.8	1.478250	libc.so.6	__GI_(long, int, bool, char)	malloc.c	0xadd50
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_remove_bucket_begin	0.011034	0.011034	0.0	0.0	13000000	11.7	11.7	2.956746	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_remove_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*, unsigned long)	hashtable.h	0x19b6
OrderBookArray::cancel_order	0.010031	0.010031	0.0	0.0	10400000	4.3	4.3	3.364344	orderbook_bench	OrderBookArray::cancel_order(unsigned long)	orderbook.h	0x3132
_int_malloc	0.010031	0.010031	0.0	0.0	75400000	47.2	47.2	0.463313	libc.so.6	_int_malloc	malloc.c	0xab570
OrderBookMap::cancel_order	0.009028	0.009028	0.0	0.0	0	0.0	0.0		orderbook_bench	OrderBookMap::cancel_order(unsigned long)	orderbook.h	0x37de
__GI___clock_gettime	0.009028	0.009028	0.0	0.0	83200000	43.0	43.0	0.377494	libc.so.6	__GI___clock_gettime	clock_gettime.c	0xec950
std::chrono::_V2::system_clock::now	0.009028	0.009028	0.0	0.0	62400000	100.0	100.0	0.503937	libstdc++.so.6.0.33	std::chrono::_V2::system_clock::now(void)	[Unknown]	0xdf910
OrderBookArray::add_order	0.008025	0.008025	0.0	0.0	41600000	64.4	64.4	0.672127	orderbook_bench	OrderBookArray::add_order(Order const&)	orderbook.h	0x3298
std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>::_M_gen_rand	0.008025	0.008025	0.0	0.0	143000000	100.0	100.0	0.195600	orderbook_bench	std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>::_M_gen_rand(void)	random.tcc	0x2900
print_stats	0.007022	0.007022	0.0	0.0	23400000	42.9	42.9	1.045579	orderbook_bench	print_stats(char const*, std::vector<double, std::allocator<double>>&)	orderbook_bench.cpp	0x1c00
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_insert_unique_node	0.007022	0.007022	0.0	0.0	31200000	30.7	30.7	0.783350	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_insert_unique_node(unsigned long, unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*, unsigned long)	hashtable.h	0x2caa
std::vector<unsigned long, std::allocator<unsigned long>>::operator[]	0.007022	0.007022	0.0	0.0	39000000	49.1	49.1	0.627192	orderbook_bench	std::vector<unsigned long, std::allocator<unsigned long>>::operator[](unsigned long)	stl_vector.h	0x3126
__GI___libc_malloc	0.006019	0.006019	0.0	0.0	26000000	64.3	64.3	0.806928	libc.so.6	__GI___libc_malloc	malloc.c	0xad670
__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator++	0.006019	0.006019	0.0	0.0	7800000	57.2	57.2	2.690617	orderbook_bench	__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator++(void)	stl_iterator.h	0x1adc
std::vector<unsigned long, std::allocator<unsigned long>>::operator[]	0.006019	0.006019	0.0	0.0	26000000	78.7	78.7	0.806064	orderbook_bench	std::vector<unsigned long, std::allocator<unsigned long>>::operator[](unsigned long)	stl_vector.h	0x37d2
__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator	0.005015	0.005015	0.0	0.0	31200000	25.7	25.7	0.560805	orderbook_bench	__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator(unsigned long const* const&)	stl_iterator.h	0x37ac
benchmark_orderbook<OrderBookArray>	0.005015	0.005015	0.0	0.0	44200000	94.5	94.5	0.394991	orderbook_bench	benchmark_orderbook<OrderBookArray>(long)	orderbook_bench.cpp	0x2f60
std::__detail::_Mod_range_hashing::operator()	0.005015	0.005015	0.0	0.0	5200000	0.0	0.0	3.349903	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x1978
std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>	0.005015	0.005015	0.0	0.0	49400000	86.0	86.0	0.352885	orderbook_bench	std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&, std::uniform_int_distribution<int>::param_type const&)	uniform_int_dist.h	0x1ff0
__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator--	0.004012	0.004012	0.0	0.0	20800000	53.7	53.7	0.671476	orderbook_bench	__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator--(void)	stl_iterator.h	0x1ab0
__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator	0.004012	0.004012	0.0	0.0	10400000	53.6	53.6	1.344541	orderbook_bench	__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator(unsigned long const* const&)	stl_iterator.h	0x3107
operator new	0.004012	0.004012	0.0	0.0	7800000	32.2	32.2	1.792839	libstdc++.so.6.0.33	operator new(unsigned long)	[Unknown]	0xbb8e0
