Function	CPU Time	CPU Time:Effective Time	CPU Time:Spin Time	CPU Time:Overhead Time	Instructions Retired	Microarchitecture Usage(%)	Microarchitecture Usage:Microarchitecture Usage(%)	Microarchitecture Usage:CPI Rate	Module	Function (Full)	Source File	Start Address
std::uniform_int_distribution<unsigned int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>, unsigned int>	0.004012	0.004012	0.0	0.0	10400000	32.2	32.2	1.341755	orderbook_bench	std::uniform_int_distribution<unsigned int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>, unsigned int>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&, unsigned int)	uniform_int_dist.h	0x1fa0
__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator	0.003009	0.003009	0.0	0.0	23400000	71.7	71.7	0.446981	orderbook_bench	__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator(unsigned long const* const&)	stl_iterator.h	0x37b3
__gnu_cxx::operator-<double*, std::vector<double, std::allocator<double>>>	0.003009	0.003009	0.0	0.0	7800000	42.9	42.9	1.343933	orderbook_bench	__gnu_cxx::operator-<double*, std::vector<double, std::allocator<double>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>> const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>> const&)	stl_iterator.h	0x19f0
func@0xa1c30	0.003009	0.003009	0.0	0.0	13000000	28.6	28.6	0.806918	libstdc++.so.6.0.33	func@0xa1c30	[Unknown]	0xa1c30
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::erase	0.003009	0.003009	0.0	0.0	18200000	0.0	0.0	0.576759	orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::erase(std::__detail::_Node_const_iterator<std::pair<unsigned long const, Order>, (bool)0, (bool)0>)	hashtable.h	0x1930
std::vector<double, std::allocator<double>>::push_back	0.003009	0.003009	0.0	0.0	15600000	14.3	14.3	0.671209	orderbook_bench	std::vector<double, std::allocator<double>>::push_back(double&&)	stl_vector.h	0x31eb
OrderBookMap::add_order	0.002006	0.002006	0.0	0.0	10400000	100.0	100.0	0.672924	orderbook_bench	OrderBookMap::add_order(Order const&)	orderbook.h	0x376d
func@0x11b4	0.002006	0.002006	0.0	0.0	0	21.4	21.4		orderbook_bench	func@0x11b4	[Unknown]	0x11b4
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_erase	0.002006	0.002006	0.0	0.0	0	21.4	21.4		orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_erase(unsigned long, std::__detail::_Hash_node_base*, std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*)	hashtable.h	0x196b
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_remove_bucket_begin	0.002006	0.002006	0.0	0.0	0	21.4	21.4		orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_remove_bucket_begin(unsigned long, std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*, unsigned long)	hashtable.h	0x19bb
std::__detail::_Prime_rehash_policy::_M_need_rehash	0.002006	0.002006	0.0	0.0	28600000	21.6	21.6	0.243212	libstdc++.so.6.0.33	std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const	[Unknown]	0xe7f20
std::__new_allocator<std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>>::deallocate	0.002006	0.002006	0.0	0.0	2600000	21.5	21.5	2.684282	orderbook_bench	std::__new_allocator<std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>>::deallocate(std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>*, unsigned long)	new_allocator.h	0x1990
std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>, unsigned int>	0.002006	0.002006	0.0	0.0	28600000	21.5	21.5	0.244477	orderbook_bench	std::uniform_int_distribution<int>::_S_nd<unsigned long, std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>, unsigned int>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&, unsigned int)	uniform_int_dist.h	0x2078
std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::operator[]	0.002006	0.002006	0.0	0.0	0	0.0	0.0		orderbook_bench	std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::operator[](unsigned long const&)	unordered_map.h	0x376d
tcache_get_n	0.002006	0.002006	0.0	0.0	10400000	100.0	100.0	0.672287	libc.so.6	tcache_get_n	malloc.c	0xad7c6
__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator--	0.001003	0.001003	0.0	0.0	2600000	85.7	85.7	1.345889	orderbook_bench	__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>::operator--(void)	stl_iterator.h	0x1e9c
__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator	0.001003	0.001003	0.0	0.0	7800000	100.0	100.0	0.448685	orderbook_bench	__gnu_cxx::__normal_iterator<unsigned long const*, std::vector<unsigned long, std::allocator<unsigned long>>>::__normal_iterator(unsigned long const* const&)	stl_iterator.h	0x3100
__gnu_cxx::__ops::_Val_less_iter::operator()<double, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>	0.001003	0.001003	0.0	0.0	10400000	86.2	86.2	0.334772	orderbook_bench	__gnu_cxx::__ops::_Val_less_iter::operator()<double, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>(double&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>) const	predefined_ops.h	0x1e94
clock_gettime	0.001003	0.001003	0.0	0.0	18200000	85.7	85.7	0.192276	[vdso]	clock_gettime	[Unknown]	0xe40
func@0x1274	0.001003	0.001003	0.0	0.0	0	85.7	85.7		orderbook_bench	func@0x1274	[Unknown]	0x1274
func@0xa2c54	0.001003	0.001003	0.0	0.0	0	0.0	0.0		libstdc++.so.6.0.33	func@0xa2c54	[Unknown]	0xa2c54
std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_bucket_index	0.001003	0.001003	0.0	0.0	0	0.0	0.0		orderbook_bench	std::_Hashtable<unsigned long, std::pair<unsigned long const, Order>, std::allocator<std::pair<unsigned long const, Order>>, std::__detail::_Select1st, std::equal_to<unsigned long>, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<(bool)0, (bool)0, (bool)1>>::_M_bucket_index(unsigned long) const	hashtable.h	0x2bf5
std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, Order>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, (bool)0>::_M_hash_code	0.001003	0.001003	0.0	0.0	2600000	42.9	42.9	1.346066	orderbook_bench	std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, Order>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, (bool)0>::_M_hash_code(unsigned long const&) const	hashtable_policy.h	0x2c0d
std::__detail::_Mod_range_hashing::operator()	0.001003	0.001003	0.0	0.0	5200000	0.0	0.0	0.672129	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x2bf5
std::__detail::_Mod_range_hashing::operator()	0.001003	0.001003	0.0	0.0	0	0.0	0.0		orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x1931
std::__move_median_to_first<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter>	0.001003	0.001003	0.0	0.0	0	42.9	42.9		orderbook_bench	std::__move_median_to_first<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__ops::_Iter_less_iter)	stl_algo.h	0x1a23
std::__new_allocator<std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>>::allocate	0.001003	0.001003	0.0	0.0	10400000	42.9	42.9	0.336301	orderbook_bench	std::__new_allocator<std::__detail::_Hash_node<std::pair<unsigned long const, Order>, (bool)0>>::allocate(unsigned long, void const*)	new_allocator.h	0x2ca0
std::sort<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>	0.001003	0.001003	0.0	0.0	15600000	85.7	85.7	0.224320	orderbook_bench	std::sort<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>)	stl_algo.h	0x1c22
std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>	0.001003	0.001003	0.0	0.0	18200000	85.7	85.7	0.192278	orderbook_bench	std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&)	uniform_int_dist.h	0x39d6
std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>	0.001003	0.001003	0.0	0.0	5200000	42.9	42.9	0.673023	orderbook_bench	std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&)	uniform_int_dist.h	0x3277
std::vector<double, std::allocator<double>>::push_back	0.001003	0.001003	0.0	0.0	5200000	42.9	42.9	0.672946	orderbook_bench	std::vector<double, std::allocator<double>>::push_back(double&&)	stl_vector.h	0x38af
std::vector<unsigned long, std::allocator<unsigned long>>::size	0.001003	0.001003	0.0	0.0	0	42.9	42.9		orderbook_bench	std::vector<unsigned long, std::allocator<unsigned long>>::size(void) const	stl_vector.h	0x3126
tcache_put	0.001003	0.001003	0.0	0.0	2600000	85.8	85.8	1.345498	libc.so.6	tcache_put	malloc.c	0xab348
_ZNSt4pairIKm5OrderEC4IJRS0_EJLm0EEJEJEEERSt5tupleIJDpT_EERS5_IJDpT1_EESt12_Index_tupleIJXspT0_EEESE_IJXspT2_EEE	0.0	0.0	0.0	0.0	23400000			0.0	orderbook_bench	_ZNSt4pairIKm5OrderEC4IJRS0_EJLm0EEJEJEEERSt5tupleIJDpT_EERS5_IJDpT1_EESt12_Index_tupleIJXspT0_EEESE_IJXspT2_EEE	tuple	0x2cc0
__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>	0.0	0.0	0.0	0.0	5200000	0.0	0.0	0.0	orderbook_bench	__gnu_cxx::__ops::_Iter_less_iter::operator()<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>) const	predefined_ops.h	0x1a23
alloc_perturb	0.0	0.0	0.0	0.0	5200000	0.0	0.0	0.0	libc.so.6	alloc_perturb	malloc.c	0xa91f0
func@0x11b0	0.0	0.0	0.0	0.0	7800000			0.0	orderbook_bench	func@0x11b0	[Unknown]	0x11b0
func@0x1270	0.0	0.0	0.0	0.0	2600000	0.0	0.0	0.0	orderbook_bench	func@0x1270	[Unknown]	0x1270
func@0xa2424	0.0	0.0	0.0	0.0	2600000	0.0	0.0	0.0	libstdc++.so.6.0.33	func@0xa2424	[Unknown]	0xa2424
get_max_fast	0.0	0.0	0.0	0.0	2600000	0.0	0.0	0.0	libc.so.6	get_max_fast	malloc.c	0xab208
operator delete	0.0	0.0	0.0	0.0	2600000			0.0	libstdc++.so.6.0.33	operator delete(void*)	[Unknown]	0xb98a0
resolve_map	0.0	0.0	0.0	0.0	2600000	0.0	0.0	0.0	ld-linux-x86-64.so.2	resolve_map	dl-reloc.c	0xf957
std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, Order>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, (bool)0>::_M_hash_code	0.0	0.0	0.0	0.0	2600000	0.0	0.0	0.0	orderbook_bench	std::__detail::_Hash_code_base<unsigned long, std::pair<unsigned long const, Order>, std::__detail::_Select1st, std::hash<unsigned long>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, (bool)0>::_M_hash_code(unsigned long const&) const	hashtable_policy.h	0x2c54
std::__detail::_Mod_range_hashing::operator()	0.0	0.0	0.0	0.0	7800000			0.0	orderbook_bench	std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const	hashtable_policy.h	0x2d64
std::__introsort_loop<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, long, __gnu_cxx::__ops::_Iter_less_iter>	0.0	0.0	0.0	0.0	10400000			0.0	orderbook_bench	std::__introsort_loop<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, long, __gnu_cxx::__ops::_Iter_less_iter>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double>>>, long, __gnu_cxx::__ops::_Iter_less_iter)	stl_algo.h	0x19f0
std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>	0.0	0.0	0.0	0.0	2600000	0.0	0.0	0.0	orderbook_bench	std::uniform_int_distribution<int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&)	uniform_int_dist.h	0x322e
std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>	0.0	0.0	0.0	0.0	15600000	0.0	0.0	0.0	orderbook_bench	std::uniform_int_distribution<unsigned int>::operator()<std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>>(std::mersenne_twister_engine<unsigned long, (unsigned long)32, (unsigned long)624, (unsigned long)397, (unsigned long)31, (unsigned long)2567483615, (unsigned long)11, (unsigned long)4294967295, (unsigned long)7, (unsigned long)2636928640, (unsigned long)15, (unsigned long)4022730752, (unsigned long)18, (unsigned long)1812433253>&)	uniform_int_dist.h	0x3253
std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::erase	0.0	0.0	0.0	0.0	2600000			0.0	orderbook_bench	std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::erase(std::__detail::_Node_iterator<std::pair<unsigned long const, Order>, (bool)0, (bool)0>)	unordered_map.h	0x3870
std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::erase	0.0	0.0	0.0	0.0	5200000	0.0	0.0	0.0	orderbook_bench	std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::erase(std::__detail::_Node_iterator<std::pair<unsigned long const, Order>, (bool)0, (bool)0>)	unordered_map.h	0x31af
std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::operator[]	0.0	0.0	0.0	0.0	5200000	0.0	0.0	0.0	orderbook_bench	std::unordered_map<unsigned long, Order, std::hash<unsigned long>, std::equal_to<unsigned long>, std::allocator<std::pair<unsigned long const, Order>>>::operator[](unsigned long const&)	unordered_map.h	0x32d4
std::vector<unsigned long, std::allocator<unsigned long>>::push_back	0.0	0.0	0.0	0.0	7800000	0.0	0.0	0.0	orderbook_bench	std::vector<unsigned long, std::allocator<unsigned long>>::push_back(unsigned long const&)	stl_vector.h	0x3bb2
std::vector<unsigned long, std::allocator<unsigned long>>::push_back	0.0	0.0	0.0	0.0	2600000	0.0	0.0	0.0	orderbook_bench	std::vector<unsigned long, std::allocator<unsigned long>>::push_back(unsigned long const&)	stl_vector.h	0x30da
